Player Name,League,Squad,Country,Position,Annualized Salary
D. Ikeda,A,Fighting Cougars,People's Land of Maneau,DF,"∂ 16,490,000"
I. Ludwig,A,Fighting Cougars,People's Land of Maneau,DF,"∂ 26,490,000"
K. Tóth,A,Fighting Cougars,People's Land of Maneau,DF,"∂ 24,130,000"
U. Ortíz,A,Fighting Cougars,People's Land of Maneau,DF,"∂ 14,590,000"
O. Ilukol,A,Fighting Cougars,Sobianitedrucy,DF,"∂ 15,190,000"
D. bin Salleh,A,Fighting Cougars,Southslands,DF,"∂ 15,510,000"
G. Köhler,A,Fighting Cougars,People's Land of Maneau,DFFW,"∂ 23,300,000"
L. Wafula,A,Fighting Cougars,Dosqaly,FW,"∂ 24,580,000"
K. Turyahabwe,A,Fighting Cougars,People's Land of Maneau,FW,"∂ 16,220,000"
R. binti Hassan,A,Fighting Cougars,Southslands,FW,"∂ 18,370,000"
P. Chew,A,Fighting Cougars,Esia,FWMF,"∂ 28,460,000"
M. Hsieh,A,Fighting Cougars,Lonnia Haba,FWMF,"∂ 17,470,000"
F. Cho,A,Fighting Cougars,Southern Ristan,FWMF,"∂ 29,960,000"
Z. Marini,A,Fighting Cougars,Central Republic of Boekrainego,GK,"∂ 22,680,000"
I. Azulay,A,Fighting Cougars,Byasier Pujan,MF,"∂ 19,590,000"
T. Ansari,A,Fighting Cougars,People's Land of Maneau,MF,"∂ 16,790,000"
H. Narvaez,A,Fighting Cougars,Reugha,MF,"∂ 17,280,000"
B. Kakooza,A,Fighting Cougars,Central Namemo Laand,MFDF,"∂ 17,300,000"
O. Kia,A,Fighting Cougars,Western Niasland,MFDF,"∂ 23,450,000"
H. Engel,A,Fighting Cougars,Byasier Pujan,MFFW,"∂ 22,680,000"
N. Mousa,A,Fighting Cougars,Cabral Retrea,MFFW,"∂ 26,300,000"
M. Kamanga,A,Fighting Cougars,Central Republic of Boekrainego,MFFW,"∂ 20,920,000"
Q. Nabimanya,A,Fighting Cougars,Imaar Vircoand,MFFW,"∂ 10,660,000"
D. Daniel,A,Great Galactic Gorgons,People's Land of Maneau,DF,"∂ 12,700,000"
H. Akugizibwe,A,Great Galactic Gorgons,People's Land of Maneau,DF,"∂ 16,890,000"
I. Akpan,A,Great Galactic Gorgons,People's Land of Maneau,DF,"∂ 20,240,000"
T. Awuah,A,Great Galactic Gorgons,People's Land of Maneau,DF,"∂ 16,530,000"
M. Ludwig,A,Great Galactic Gorgons,Rarita,DF,"∂ 11,830,000"
I. Najjemba,A,Great Galactic Gorgons,Southslands,DF,"∂ 24,200,000"
X. Nalukenge,A,Great Galactic Gorgons,Southslands,DF,"∂ 24,720,000"
S. Pérez,A,Great Galactic Gorgons,Byasier Pujan,FW,"∂ 18,000,000"
J. Krajnc,A,Great Galactic Gorgons,Djipines,FW,"∂ 10,780,000"
G. Elbaz,A,Great Galactic Gorgons,Dosqaly,FW,"∂ 28,350,000"
Y. Susanti,A,Great Galactic Gorgons,Ngoque Blicri,FW,"∂ 26,340,000"
A. Schmitt,A,Great Galactic Gorgons,People's Land of Maneau,FW,"∂ 26,120,000"
H. Gomani,A,Great Galactic Gorgons,Southslands,FW,"∂ 27,240,000"
B. Mulyana,A,Great Galactic Gorgons,People's Land of Maneau,FWMF,"∂ 26,140,000"
Q. Ayerango,A,Great Galactic Gorgons,Southslands,FWMF,"∂ 25,300,000"
K. Smits,A,Great Galactic Gorgons,People's Land of Maneau,GK,"∂ 6,400,000"
P. Kabugo,A,Great Galactic Gorgons,People's Land of Maneau,GK,"∂ 21,600,000"
D. Kojima,A,Great Galactic Gorgons,Highhlaands,MF,"∂ 29,050,000"
A. Aryemo,A,Great Galactic Gorgons,Ngoque Blicri,MF,"∂ 32,020,000"
E. Yeong,A,Great Galactic Gorgons,People's Land of Maneau,MF,"∂ 12,870,000"
G. Gustafsson,A,Great Galactic Gorgons,People's Land of Maneau,MF,"∂ 29,520,000"
R. Hamed,A,Great Galactic Gorgons,People's Land of Maneau,MF,"∂ 90,000"
H. Susanto,A,Great Galactic Gorgons,Redohrainbri,MF,"∂ 17,370,000"
G. Lukyamuzi,A,Great Galactic Gorgons,Thaijagypt,MF,"∂ 16,910,000"
O. Mugide,A,Great Galactic Gorgons,Unicorporated Tiagascar,MF,"∂ 16,260,000"
F. Nakazibwe,A,Great Galactic Gorgons,People's Land of Maneau,MFDF,"∂ 19,340,000"
Z. Okon,A,Green Fleet,Byasier Pujan,DF,"∂ 23,090,000"
G. Nimusiima,A,Green Fleet,Central Diasongo,DF,"∂ 3,040,000"
C. Ahmad,A,Green Fleet,Imaar Vircoand,DF,"∂ 18,190,000"
C. Muyama,A,Green Fleet,People's Land of Maneau,DF,"∂ 18,830,000"
G. Hernández,A,Green Fleet,People's Land of Maneau,DF,"∂ 13,890,000"
I. Donati,A,Green Fleet,People's Land of Maneau,DF,"∂ 23,030,000"
L. Mugumya,A,Green Fleet,People's Land of Maneau,DF,"∂ 12,800,000"
R. Ishii,A,Green Fleet,People's Land of Maneau,DF,"∂ 15,410,000"
U. Wright,A,Green Fleet,People's Land of Maneau,DF,"∂ 20,870,000"
Z. Agyei,A,Green Fleet,People's Land of Maneau,DF,"∂ 13,920,000"
Q. Sarfo,A,Green Fleet,Xikong,DF,"∂ 3,180,000"
K. Nalwanga,A,Green Fleet,Rarita,DFMF,"∂ 23,920,000"
I. Koomson,A,Green Fleet,Djipines,FW,"∂ 19,330,000"
L. Obote,A,Green Fleet,Dosqaly,FW,"∂ 30,190,000"
T. Ichikawa,A,Green Fleet,People's Land of Maneau,FW,"∂ 29,120,000"
Z. Nabaweesi,A,Green Fleet,People's Land of Maneau,FW,"∂ 26,810,000"
N. Gheorghe,A,Green Fleet,Republic of Denand Landsa,FW,"∂ 26,930,000"
Q. Scott,A,Green Fleet,Byasier Pujan,FWDF,"∂ 24,180,000"
G. Mwebaze,A,Green Fleet,Nganion,GK,"∂ 17,220,000"
J. Rukundo,A,Green Fleet,Dosqaly,MF,"∂ 29,710,000"
C. Ji,A,Green Fleet,Greri Landmoslands,MF,"∂ 30,660,000"
Q. Nabutono,A,Green Fleet,Lefghau,MF,"∂ 18,150,000"
P. Bauri,A,Green Fleet,Ngoque Blicri,MF,"∂ 33,690,000"
H. Kamugisha,A,Green Fleet,People's Land of Maneau,MF,"∂ 600,000"
U. García,A,Green Fleet,People's Land of Maneau,MF,"∂ 19,510,000"
A. Miura,A,Green Fleet,Rosvi,MF,"∂ 14,710,000"
S. Avraham,A,Green Fleet,Nganion,MFFW,"∂ 25,530,000"
E. Taylor,A,Green Fleet,People's Land of Maneau,MFFW,"∂ 26,050,000"
Y. Torres,A,Green Fleet,Rarita,MFFW,"∂ 31,750,000"
A. Haruna,A,Horrible Grizzlies,Dosqaly,DF,"∂ 22,300,000"
D. Svensson,A,Horrible Grizzlies,Esia,DF,"∂ 8,210,000"
Y. Eyotaru,A,Horrible Grizzlies,Mico,DF,"∂ 15,210,000"
D. Martini,A,Horrible Grizzlies,Nganion,DF,"∂ 29,120,000"
S. Namugere,A,Horrible Grizzlies,Nganion,DF,"∂ 20,740,000"
T. Nouri,A,Horrible Grizzlies,People's Land of Maneau,DF,"∂ 19,220,000"
U. Ortíz,A,Horrible Grizzlies,People's Land of Maneau,DF,"∂ 22,360,000"
V. Thompson,A,Horrible Grizzlies,People's Land of Maneau,DF,"∂ 29,130,000"
V. bin Ali,A,Horrible Grizzlies,Sobianitedrucy,DF,"∂ 22,910,000"
S. Mlakar,A,Horrible Grizzlies,Dosqaly,FW,"∂ 28,230,000"
U. Chio,A,Horrible Grizzlies,Lefghau,FW,"∂ 35,420,000"
M. Abur,A,Horrible Grizzlies,Moaithe,FW,"∂ 9,800,000"
F. Pellegrini,A,Horrible Grizzlies,Nganion,FW,"∂ 38,070,000"
G. Adriko,A,Horrible Grizzlies,People's Land of Maneau,FW,"∂ 10,070,000"
N. Nantege,A,Horrible Grizzlies,People's Land of Maneau,FW,"∂ 32,380,000"
Z. Makore,A,Horrible Grizzlies,People's Land of Maneau,FW,"∂ 22,760,000"
D. Kayira,A,Horrible Grizzlies,Slandsganiamayotteque,FW,"∂ 26,640,000"
X. Nakanwagi,A,Horrible Grizzlies,Southern Ristan,FW,"∂ 25,810,000"
R. Wanyama,A,Horrible Grizzlies,Imaar Vircoand,GK,"∂ 10,480,000"
J. Nkrumah,A,Horrible Grizzlies,Nganion,GK,"∂ 9,020,000"
M. Matsumoto,A,Horrible Grizzlies,Dosqaly,MF,"∂ 30,730,000"
C. Nyesiga,A,Horrible Grizzlies,Manlisgamncent,MF,"∂ 21,820,000"
Y. Diallo,A,Horrible Grizzlies,Ngoque Blicri,MF,"∂ 11,200,000"
G. Baey,A,Horrible Grizzlies,People's Land of Maneau,MF,"∂ 24,870,000"
I. Makavan,A,Horrible Grizzlies,Sobianitedrucy,MF,"∂ 25,620,000"
J. Wan,A,Horrible Grizzlies,People's Land of Maneau,MFFW,"∂ 20,170,000"
O. Nampeera,A,Horrible Grizzlies,People's Land of Maneau,MFFW,"∂ 29,250,000"
B. Longoli,A,Horrible Storm,Djipines,DF,"∂ 8,840,000"
F. Shkreli,A,Horrible Storm,Dosqaly,DF,"∂ 20,460,000"
A. Tay,A,Horrible Storm,Frenchdo Stanser,DF,"∂ 28,430,000"
B. Stewart,A,Horrible Storm,People's Land of Maneau,DF,"∂ 18,400,000"
H. Steiner,A,Horrible Storm,People's Land of Maneau,DF,"∂ 14,840,000"
K. Mirkovi?,A,Horrible Storm,People's Land of Maneau,DF,"∂ 16,040,000"
Y. Aidoo,A,Horrible Storm,People's Land of Maneau,DF,"∂ 22,850,000"
C. Nyaketcho,A,Horrible Storm,Southern Ristan,DF,"∂ 17,740,000"
Q. Mbambu,A,Horrible Storm,Lefghau,FW,"∂ 25,430,000"
K. Muhumuza,A,Horrible Storm,People's Land of Maneau,FW,"∂ 21,160,000"
M. Adoch,A,Horrible Storm,United Provinces of Somoe,FW,"∂ 24,670,000"
H. Nsamba,A,Horrible Storm,Byasier Pujan,FWMF,"∂ 23,390,000"
R. Dijkstra,A,Horrible Storm,Central Diasongo,FWMF,"∂ 15,770,000"
E. Estrada,A,Horrible Storm,Frenchdo Stanser,FWMF,"∂ 22,460,000"
E. Amponsah,A,Horrible Storm,Nganion,FWMF,"∂ 25,630,000"
K. Namuwaya,A,Horrible Storm,People's Land of Maneau,FWMF,"∂ 25,190,000"
C. Quartey,A,Horrible Storm,Slandsganiamayotteque,FWMF,"∂ 6,060,000"
J. Turyasingura,A,Horrible Storm,Nganion,GK,"∂ 20,310,000"
K. Lin,A,Horrible Storm,People's Land of Maneau,GK,"∂ 7,440,000"
S. Herrera,A,Horrible Storm,People's Land of Maneau,GK,"∂ 11,460,000"
M. Alzahrani,A,Horrible Storm,Redohrainbri,GK,"∂ 17,380,000"
R. Akech,A,Horrible Storm,Eastern Covaki,MF,"∂ 16,420,000"
L. Egger,A,Horrible Storm,Lefghau,MF,"∂ 13,820,000"
Z. Cher,A,Horrible Storm,Ngoque Blicri,MF,"∂ 27,170,000"
P. Shehu,A,Horrible Storm,People's Land of Maneau,MF,"∂ 18,920,000"
T. Nkhoma,A,Horrible Storm,Southslands,MF,"∂ 25,310,000"
H. Shoko,A,Horrible Storm,Nganion,MFFW,"∂ 3,370,000"
C. Awad,A,Horrible Storm,People's Land of Maneau,MFFW,"∂ 15,720,000"
Z. Chipeta,A,Mighty Jays,Esia,DF,"∂ 14,080,000"
D. Asaba,A,Mighty Jays,Greri Landmoslands,DF,"∂ 7,750,000"
D. Wolf,A,Mighty Jays,Ingre,DF,"∂ 19,710,000"
S. Kaggwa,A,Mighty Jays,Lefghau,DF,"∂ 17,950,000"
C. Nakitto,A,Mighty Jays,Nganion,DF,"∂ 19,980,000"
E. ?ta,A,Mighty Jays,Nganion,DF,"∂ 8,240,000"
Z. Semakula,A,Mighty Jays,Nganion,DF,"∂ 24,350,000"
Q. Aini,A,Mighty Jays,Ngoque Blicri,DF,"∂ 15,740,000"
E. Ramezani,A,Mighty Jays,People's Land of Maneau,DF,"∂ 12,130,000"
V. Ram,A,Mighty Jays,People's Land of Maneau,DF,"∂ 13,530,000"
Z. Nakagawa,A,Mighty Jays,People's Land of Maneau,DF,"∂ 17,820,000"
A. Akoth,A,Mighty Jays,Unicorporated Tiagascar,DF,"∂ 19,560,000"
G. Dijkstra,A,Mighty Jays,People's Land of Maneau,DFFW,"∂ 26,490,000"
G. Siddiqui,A,Mighty Jays,Central Diasongo,FW,"∂ 26,640,000"
U. Nalumansi,A,Mighty Jays,Czechnor,FW,"∂ 26,570,000"
F. Heng,A,Mighty Jays,Dosqaly,FW,"∂ 23,830,000"
B. Asiedu,A,Mighty Jays,Isle of Lababwe,FW,"∂ 22,000,000"
I. Kakuru,A,Mighty Jays,Lefghau,FW,"∂ 33,480,000"
C. Ssentamu,A,Mighty Jays,People's Land of Maneau,FW,"∂ 26,450,000"
I. Nugraha,A,Mighty Jays,People's Land of Maneau,FW,"∂ 21,840,000"
V. Kumwenda,A,Mighty Jays,Esia,GK,"∂ 33,830,000"
S. Tamale,A,Mighty Jays,Imaar Vircoand,GK,"∂ 21,810,000"
S. Tenywa,A,Mighty Jays,Dosqaly,MF,"∂ 15,010,000"
E. Boadu,A,Mighty Jays,Esia,MF,"∂ 28,580,000"
T. Robert,A,Mighty Jays,Janmico,MF,"∂ 21,570,000"
A. Vang,A,Mighty Jays,Nganion,MF,"∂ 14,960,000"
K. Abalo,A,Mighty Jays,Quewenia,MF,"∂ 14,600,000"
E. Nakanjako,A,Mighty Jays,Rarita,MF,"∂ 9,790,000"
Y. Ferrara,A,Mighty Jays,People's Land of Maneau,MFFW,"∂ 27,240,000"
C. Carvalho,A,Odd Ducks,Byasier Pujan,DF,"∂ 11,420,000"
N. Dekker,A,Odd Ducks,Djipines,DF,"∂ 20,810,000"
V. Nalukwago,A,Odd Ducks,Nganion,DF,"∂ 23,060,000"
C. Hasanovi?,A,Odd Ducks,People's Land of Maneau,DF,"∂ 9,660,000"
C. Perkovi?,A,Odd Ducks,People's Land of Maneau,DF,"∂ 13,860,000"
D. Lejeune,A,Odd Ducks,People's Land of Maneau,DF,"∂ 25,700,000"
D. Mwandira,A,Odd Ducks,People's Land of Maneau,DF,"∂ 13,180,000"
F. Arslan,A,Odd Ducks,People's Land of Maneau,DF,"∂ 16,800,000"
N. Medina,A,Odd Ducks,People's Land of Maneau,DF,"∂ 15,050,000"
O. Estrada,A,Odd Ducks,People's Land of Maneau,DF,"∂ 11,280,000"
X. Sartori,A,Odd Ducks,People's Land of Maneau,DF,"∂ 7,780,000"
B. Maturu,A,Odd Ducks,People's Land of Maneau,FW,"∂ 32,790,000"
P. Biira,A,Odd Ducks,People's Land of Maneau,FWMF,"∂ 25,580,000"
W. Rashid,A,Odd Ducks,People's Land of Maneau,FWMF,"∂ 20,860,000"
I. Mlambo,A,Odd Ducks,Redohrainbri,FWMF,"∂ 31,340,000"
A. Soong,A,Odd Ducks,People's Land of Maneau,GK,"∂ 10,210,000"
F. Malik,A,Odd Ducks,Southslands,GK,"∂ 11,480,000"
N. Zhu,A,Odd Ducks,Byasier Pujan,MF,"∂ 11,190,000"
C. Mawejje,A,Odd Ducks,Djipines,MF,"∂ 15,270,000"
A. Henry,A,Odd Ducks,Mico,MF,"∂ 15,360,000"
B. Nakayiwa,A,Odd Ducks,People's Land of Maneau,MF,"∂ 9,090,000"
F. Afful,A,Odd Ducks,People's Land of Maneau,MF,"∂ 25,600,000"
I. Ghoe,A,Odd Ducks,People's Land of Maneau,MF,"∂ 33,400,000"
X. Ferraro,A,Odd Ducks,Western Niasland,MF,"∂ 25,620,000"
N. Kaiser,A,Odd Ducks,People's Land of Maneau,MFDF,"∂ 28,090,000"
T. Cheung,A,Odd Ducks,Djipines,MFFW,"∂ 28,720,000"
D. Masereka,A,Odd Ducks,Ngoque Blicri,MFFW,"∂ 19,390,000"
V. Garcia,A,Old Mustangs,Byasier Pujan,DF,"∂ 15,760,000"
A. Sihombing,A,Old Mustangs,Central Namemo Laand,DF,"∂ 23,310,000"
F. Nassolo,A,Old Mustangs,Djipines,DF,"∂ 25,760,000"
Q. Achom,A,Old Mustangs,Manlisgamncent,DF,"∂ 18,130,000"
M. Tumuramye,A,Old Mustangs,Ngoque Blicri,DF,"∂ 28,610,000"
T. Chebet,A,Old Mustangs,People's Land of Maneau,DF,"∂ 8,630,000"
T. Syed,A,Old Mustangs,People's Land of Maneau,DF,"∂ 16,290,000"
Z. Rojas,A,Old Mustangs,People's Land of Maneau,DF,"∂ 28,690,000"
Y. Niemi,A,Old Mustangs,Coastpa Barleslands,FW,"∂ 30,940,000"
Y. Wood,A,Old Mustangs,Frenchdo Stanser,FW,"∂ 27,820,000"
F. Njoku,A,Old Mustangs,Lefghau,FW,"∂ 26,870,000"
W. Kayange,A,Old Mustangs,Southern Ristan,FW,"∂ 22,510,000"
A. Logose,A,Old Mustangs,Lylimi,FWMF,"∂ 22,770,000"
Q. Nakityo,A,Old Mustangs,Quewenia,FWMF,"∂ 24,430,000"
U. Nakazibwe,A,Old Mustangs,Lefghau,GK,"∂ 26,960,000"
F. Walker,A,Old Mustangs,Nganion,GK,"∂ 9,410,000"
V. Waswa,A,Old Mustangs,Byasier Pujan,MF,"∂ 18,650,000"
V. Mattila,A,Old Mustangs,Iverde,MF,"∂ 26,040,000"
M. Carpentier,A,Old Mustangs,Lefghau,MF,"∂ 24,160,000"
H. Twongirwe,A,Old Mustangs,People's Land of Maneau,MF,"∂ 15,940,000"
Q. Johnsen,A,Old Mustangs,People's Land of Maneau,MF,"∂ 33,470,000"
P. Saputra,A,Old Mustangs,People's Land of Maneau,MFDF,"∂ 22,110,000"
I. Ocen,A,Old Mustangs,People's Land of Maneau,MFFW,"∂ 34,750,000"
L. Edwards,A,Old Mustangs,People's Land of Maneau,MFFW,"∂ 22,900,000"
N. Kamusiime,A,Punctual Rustlers,Dosqaly,DF,"∂ 25,250,000"
B. Hungwe,A,Punctual Rustlers,People's Land of Maneau,DF,"∂ 14,690,000"
H. Farina,A,Punctual Rustlers,People's Land of Maneau,DF,"∂ 24,960,000"
S. Debnath,A,Punctual Rustlers,People's Land of Maneau,DF,"∂ 11,700,000"
W. Nakiyingi,A,Punctual Rustlers,People's Land of Maneau,DF,"∂ 10,570,000"
J. Dahiru,A,Punctual Rustlers,Rarita,DF,"∂ 16,290,000"
T. Kafuko,A,Punctual Rustlers,Southslands,DF,"∂ 20,130,000"
I. Namugosa,A,Punctual Rustlers,Western Niasland,DF,"∂ 11,460,000"
M. Villa,A,Punctual Rustlers,Coastpa Barleslands,FW,"∂ 20,480,000"
L. Lechner,A,Punctual Rustlers,Lefghau,FW,"∂ 32,260,000"
N. Ono,A,Punctual Rustlers,People's Land of Maneau,FW,"∂ 25,950,000"
J. Lysenko,A,Punctual Rustlers,Sobianitedrucy,FW,"∂ 23,090,000"
R. Arai,A,Punctual Rustlers,Varijitri Isles,FW,"∂ 23,730,000"
X. Neri,A,Punctual Rustlers,People's Land of Maneau,GK,"∂ 12,620,000"
M. Nankwanga,A,Punctual Rustlers,Central Diasongo,MF,"∂ 20,750,000"
B. Kor,A,Punctual Rustlers,Cuandbo,MF,"∂ 25,790,000"
T. Nyanzi,A,Punctual Rustlers,Dosqaly,MF,"∂ 9,380,000"
X. Muhwezi,A,Punctual Rustlers,Greri Landmoslands,MF,"∂ 18,960,000"
D. Pellegrino,A,Punctual Rustlers,People's Land of Maneau,MF,"∂ 15,970,000"
G. Chong,A,Punctual Rustlers,People's Land of Maneau,MF,"∂ 22,470,000"
M. Vásquez,A,Punctual Rustlers,Lefghau,MFFW,"∂ 20,420,000"
C. Namutebi,A,Punctual Rustlers,People's Land of Maneau,MFFW,"∂ 35,740,000"
T. Zoabi,A,Punctual Rustlers,People's Land of Maneau,MFFW,"∂ 17,810,000"
H. Turyatunga,A,Punctual Rustlers,Republic of Denand Landsa,MFFW,"∂ 28,160,000"
D. Iskandar,A,Silver Heels,Byasier Pujan,DF,"∂ 24,620,000"
C. Boyko,A,Silver Heels,Dosqaly,DF,"∂ 8,930,000"
B. Masika,A,Silver Heels,People's Land of Maneau,DF,"∂ 8,650,000"
B. Weiß,A,Silver Heels,People's Land of Maneau,DF,"∂ 11,420,000"
B. Wright,A,Silver Heels,People's Land of Maneau,DF,"∂ 15,160,000"
K. Machava,A,Silver Heels,People's Land of Maneau,DF,"∂ 15,060,000"
Z. Kayendeke,A,Silver Heels,People's Land of Maneau,DF,"∂ 12,670,000"
Z. Mutandwa,A,Silver Heels,People's Land of Maneau,DF,"∂ 22,090,000"
Y. binti Ahmad,A,Silver Heels,People's Land of Maneau,DFFW,"∂ 16,830,000"
J. Agaba,A,Silver Heels,Byasier Pujan,DFMF,"∂ 22,660,000"
F. Diaz,A,Silver Heels,Southern Ristan,FW,"∂ 22,130,000"
R. Arai,A,Silver Heels,Varijitri Isles,FW,"∂ 23,960,000"
W. Markovi?,A,Silver Heels,Nancipenuaroe,FWMF,"∂ 24,250,000"
M. Willems,A,Silver Heels,People's Land of Maneau,FWMF,"∂ 31,710,000"
Y. Owino,A,Silver Heels,Djipines,GK,"∂ 5,910,000"
Q. Musimenta,A,Silver Heels,Nganion,GK,"∂ 10,610,000"
E. Mutebi,A,Silver Heels,Nancipenuaroe,MF,"∂ 26,440,000"
J. Mutonyi,A,Silver Heels,Nganion,MF,"∂ 5,890,000"
V. Mahagna,A,Silver Heels,Ngoque Blicri,MF,"∂ 19,850,000"
A. Bruno,A,Silver Heels,People's Land of Maneau,MF,"∂ 29,850,000"
A. Nyasulu,A,Silver Heels,Rosvi,MF,"∂ 23,090,000"
I. Joseph,A,Silver Heels,Southslands,MF,"∂ 8,830,000"
F. Hove,A,Silver Heels,Coastpa Barleslands,MFDF,"∂ 19,860,000"
M. Purnomo,A,Silver Heels,Central Diasongo,MFFW,"∂ 25,100,000"
T. Mguni,A,Silver Heels,Esia,MFFW,"∂ 24,950,000"
Q. Sam,A,Solemn Cougars,Giumle Lizeibon,DF,"∂ 13,900,000"
S. Kasamba,A,Solemn Cougars,Greri Landmoslands,DF,"∂ 26,620,000"
R. Navarro,A,Solemn Cougars,Highhlaands,DF,"∂ 19,020,000"
E. D'angelo,A,Solemn Cougars,People's Land of Maneau,DF,"∂ 14,220,000"
F. Kalule,A,Solemn Cougars,People's Land of Maneau,DF,"∂ 11,610,000"
F. Omara,A,Solemn Cougars,People's Land of Maneau,DF,"∂ 21,310,000"
Y. Deng,A,Solemn Cougars,People's Land of Maneau,DF,"∂ 24,320,000"
D. Tawiah,A,Solemn Cougars,Thaijagypt,DF,"∂ 11,390,000"
M. Happy,A,Solemn Cougars,Varijitri Isles,DF,"∂ 20,100,000"
H. Acan,A,Solemn Cougars,People's Land of Maneau,FW,"∂ 25,930,000"
L. Musoki,A,Solemn Cougars,People's Land of Maneau,FW,"∂ 26,290,000"
I. Nyamande,A,Solemn Cougars,Republic of Denand Landsa,FWMF,"∂ 33,980,000"
S. Zandamela,A,Solemn Cougars,Mico,GK,"∂ 16,450,000"
O. Nabirye,A,Solemn Cougars,Coastpa Barleslands,MF,"∂ 10,650,000"
D. Kwagala,A,Solemn Cougars,People's Land of Maneau,MF,"∂ 14,740,000"
T. bin Mohamed,A,Solemn Cougars,People's Land of Maneau,MF,"∂ 15,570,000"
W. Török,A,Solemn Cougars,People's Land of Maneau,MF,"∂ 29,950,000"
C. Kawooya,A,Solemn Cougars,Republic of Denand Landsa,MF,"∂ 30,980,000"
H. Leong,A,Solemn Cougars,Southern Ristan,MF,"∂ 28,780,000"
X. Boateng,A,Solemn Cougars,Southern Ristan,MF,"∂ 25,260,000"
C. Mwesige,A,Solemn Cougars,People's Land of Maneau,MFDF,"∂ 27,310,000"
F. Mtambo,A,Solemn Cougars,Nganion,MFFW,"∂ 34,660,000"
V. Mudondo,A,Solemn Cougars,People's Land of Maneau,MFFW,"∂ 30,830,000"
X. Joly,A,Solemn Cougars,People's Land of Maneau,MFFW,"∂ 35,650,000"
R. Kawuma,A,Somber Bombers,Byasier Pujan,DF,"∂ 16,780,000"
O. binti Mohamad,A,Somber Bombers,Djipines,DF,"∂ 13,470,000"
N. bin Hashim,A,Somber Bombers,Dosqaly,DF,"∂ 29,100,000"
Y. Phe,A,Somber Bombers,Imaar Vircoand,DF,"∂ 18,570,000"
V. Abiria,A,Somber Bombers,Nganion,DF,"∂ 21,330,000"
J. Sanyu,A,Somber Bombers,People's Land of Maneau,DF,"∂ 9,730,000"
S. Hamza,A,Somber Bombers,People's Land of Maneau,DF,"∂ 15,300,000"
X. Heikkilä,A,Somber Bombers,People's Land of Maneau,DF,"∂ 15,050,000"
I. Amoah,A,Somber Bombers,Slandsganiamayotteque,DF,"∂ 10,840,000"
F. Kollár,A,Somber Bombers,Southslands,DF,"∂ 29,630,000"
V. Lao,A,Somber Bombers,Xikong,DF,"∂ 6,450,000"
